23
(61.8 34.5)
(18.0 28.5)
(52.9 81.5)
(67.9 14.8)
(40.8 58.6)
(94.9 77.2)
(69.5 53.6)
(0.4 78.8)
(5.1 72.5)
(78.1 20.0)
(60.6 16.8)
(37.7 98.7)
(96.8 21.7)
(30.8 3.7)
(90.3 28.4)
(42.5 17.0)
(30.2 44.2)
(94.8 0.1)
(15.1 94.0)
(69.9 64.3)
(76.0 85.3)
(29.6 56.6)
(42.1 85.3)
253
(61.8 34.5),(18.0 28.5),44
(61.8 34.5),(52.9 81.5),48
(61.8 34.5),(67.9 14.8),21
(61.8 34.5),(40.8 58.6),32
(61.8 34.5),(94.9 77.2),54
(61.8 34.5),(69.5 53.6),21
(61.8 34.5),(0.4 78.8),76
(61.8 34.5),(5.1 72.5),68
(61.8 34.5),(78.1 20.0),22
(61.8 34.5),(60.6 16.8),18
(61.8 34.5),(37.7 98.7),69
(61.8 34.5),(96.8 21.7),37
(61.8 34.5),(30.8 3.7),44
(61.8 34.5),(90.3 28.4),29
(61.8 34.5),(42.5 17.0),26
(61.8 34.5),(30.2 44.2),33
(61.8 34.5),(94.8 0.1),48
(61.8 34.5),(15.1 94.0),76
(61.8 34.5),(69.9 64.3),31
(61.8 34.5),(76.0 85.3),53
(61.8 34.5),(29.6 56.6),39
(61.8 34.5),(42.1 85.3),54
(18.0 28.5),(52.9 81.5),63
(18.0 28.5),(67.9 14.8),52
(18.0 28.5),(40.8 58.6),38
(18.0 28.5),(94.9 77.2),91
(18.0 28.5),(69.5 53.6),57
(18.0 28.5),(0.4 78.8),53
(18.0 28.5),(5.1 72.5),46
(18.0 28.5),(78.1 20.0),61
(18.0 28.5),(60.6 16.8),44
(18.0 28.5),(37.7 98.7),73
(18.0 28.5),(96.8 21.7),79
(18.0 28.5),(30.8 3.7),28
(18.0 28.5),(90.3 28.4),72
(18.0 28.5),(42.5 17.0),27
(18.0 28.5),(30.2 44.2),20
(18.0 28.5),(94.8 0.1),82
(18.0 28.5),(15.1 94.0),66
(18.0 28.5),(69.9 64.3),63
(18.0 28.5),(76.0 85.3),81
(18.0 28.5),(29.6 56.6),30
(18.0 28.5),(42.1 85.3),62
(52.9 81.5),(67.9 14.8),68
(52.9 81.5),(40.8 58.6),26
(52.9 81.5),(94.9 77.2),42
(52.9 81.5),(69.5 53.6),32
(52.9 81.5),(0.4 78.8),53
(52.9 81.5),(5.1 72.5),49
(52.9 81.5),(78.1 20.0),66
(52.9 81.5),(60.6 16.8),65
(52.9 81.5),(37.7 98.7),23
(52.9 81.5),(96.8 21.7),74
(52.9 81.5),(30.8 3.7),81
(52.9 81.5),(90.3 28.4),65
(52.9 81.5),(42.5 17.0),65
(52.9 81.5),(30.2 44.2),44
(52.9 81.5),(94.8 0.1),92
(52.9 81.5),(15.1 94.0),40
(52.9 81.5),(69.9 64.3),24
(52.9 81.5),(76.0 85.3),23
(52.9 81.5),(29.6 56.6),34
(52.9 81.5),(42.1 85.3),11
(67.9 14.8),(40.8 58.6),52
(67.9 14.8),(94.9 77.2),68
(67.9 14.8),(69.5 53.6),39
(67.9 14.8),(0.4 78.8),93
(67.9 14.8),(5.1 72.5),85
(67.9 14.8),(78.1 20.0),11
(67.9 14.8),(60.6 16.8),8
(67.9 14.8),(37.7 98.7),89
(67.9 14.8),(96.8 21.7),30
(67.9 14.8),(30.8 3.7),39
(67.9 14.8),(90.3 28.4),26
(67.9 14.8),(42.5 17.0),25
(67.9 14.8),(30.2 44.2),48
(67.9 14.8),(94.8 0.1),31
(67.9 14.8),(15.1 94.0),95
(67.9 14.8),(69.9 64.3),50
(67.9 14.8),(76.0 85.3),71
(67.9 14.8),(29.6 56.6),57
(67.9 14.8),(42.1 85.3),75
(40.8 58.6),(94.9 77.2),57
(40.8 58.6),(69.5 53.6),29
(40.8 58.6),(0.4 78.8),45
(40.8 58.6),(5.1 72.5),38
(40.8 58.6),(78.1 20.0),54
(40.8 58.6),(60.6 16.8),46
(40.8 58.6),(37.7 98.7),40
(40.8 58.6),(96.8 21.7),67
(40.8 58.6),(30.8 3.7),56
(40.8 58.6),(90.3 28.4),58
(40.8 58.6),(42.5 17.0),42
(40.8 58.6),(30.2 44.2),18
(40.8 58.6),(94.8 0.1),80
(40.8 58.6),(15.1 94.0),44
(40.8 58.6),(69.9 64.3),30
(40.8 58.6),(76.0 85.3),44
(40.8 58.6),(29.6 56.6),11
(40.8 58.6),(42.1 85.3),27
(94.9 77.2),(69.5 53.6),35
(94.9 77.2),(0.4 78.8),95
(94.9 77.2),(5.1 72.5),90
(94.9 77.2),(78.1 20.0),60
(94.9 77.2),(60.6 16.8),69
(94.9 77.2),(37.7 98.7),61
(94.9 77.2),(96.8 21.7),56
(94.9 77.2),(30.8 3.7),98
(94.9 77.2),(90.3 28.4),49
(94.9 77.2),(42.5 17.0),80
(94.9 77.2),(30.2 44.2),73
(94.9 77.2),(94.8 0.1),77
(94.9 77.2),(15.1 94.0),82
(94.9 77.2),(69.9 64.3),28
(94.9 77.2),(76.0 85.3),21
(94.9 77.2),(29.6 56.6),68
(94.9 77.2),(42.1 85.3),53
(69.5 53.6),(0.4 78.8),74
(69.5 53.6),(5.1 72.5),67
(69.5 53.6),(78.1 20.0),35
(69.5 53.6),(60.6 16.8),38
(69.5 53.6),(37.7 98.7),55
(69.5 53.6),(96.8 21.7),42
(69.5 53.6),(30.8 3.7),63
(69.5 53.6),(90.3 28.4),33
(69.5 53.6),(42.5 17.0),45
(69.5 53.6),(30.2 44.2),40
(69.5 53.6),(94.8 0.1),59
(69.5 53.6),(15.1 94.0),68
(69.5 53.6),(69.9 64.3),11
(69.5 53.6),(76.0 85.3),32
(69.5 53.6),(29.6 56.6),40
(69.5 53.6),(42.1 85.3),42
(0.4 78.8),(5.1 72.5),8
(0.4 78.8),(78.1 20.0),97
(0.4 78.8),(60.6 16.8),86
(0.4 78.8),(37.7 98.7),42
(0.4 78.8),(96.8 21.7),112
(0.4 78.8),(30.8 3.7),81
(0.4 78.8),(90.3 28.4),103
(0.4 78.8),(42.5 17.0),75
(0.4 78.8),(30.2 44.2),46
(0.4 78.8),(94.8 0.1),123
(0.4 78.8),(15.1 94.0),21
(0.4 78.8),(69.9 64.3),71
(0.4 78.8),(76.0 85.3),76
(0.4 78.8),(29.6 56.6),37
(0.4 78.8),(42.1 85.3),42
(5.1 72.5),(78.1 20.0),90
(5.1 72.5),(60.6 16.8),79
(5.1 72.5),(37.7 98.7),42
(5.1 72.5),(96.8 21.7),105
(5.1 72.5),(30.8 3.7),73
(5.1 72.5),(90.3 28.4),96
(5.1 72.5),(42.5 17.0),67
(5.1 72.5),(30.2 44.2),38
(5.1 72.5),(94.8 0.1),115
(5.1 72.5),(15.1 94.0),24
(5.1 72.5),(69.9 64.3),65
(5.1 72.5),(76.0 85.3),72
(5.1 72.5),(29.6 56.6),29
(5.1 72.5),(42.1 85.3),39
(78.1 20.0),(60.6 16.8),18
(78.1 20.0),(37.7 98.7),88
(78.1 20.0),(96.8 21.7),19
(78.1 20.0),(30.8 3.7),50
(78.1 20.0),(90.3 28.4),15
(78.1 20.0),(42.5 17.0),36
(78.1 20.0),(30.2 44.2),54
(78.1 20.0),(94.8 0.1),26
(78.1 20.0),(15.1 94.0),97
(78.1 20.0),(69.9 64.3),45
(78.1 20.0),(76.0 85.3),65
(78.1 20.0),(29.6 56.6),61
(78.1 20.0),(42.1 85.3),75
(60.6 16.8),(37.7 98.7),85
(60.6 16.8),(96.8 21.7),37
(60.6 16.8),(30.8 3.7),33
(60.6 16.8),(90.3 28.4),32
(60.6 16.8),(42.5 17.0),18
(60.6 16.8),(30.2 44.2),41
(60.6 16.8),(94.8 0.1),38
(60.6 16.8),(15.1 94.0),90
(60.6 16.8),(69.9 64.3),48
(60.6 16.8),(76.0 85.3),70
(60.6 16.8),(29.6 56.6),50
(60.6 16.8),(42.1 85.3),71
(37.7 98.7),(96.8 21.7),97
(37.7 98.7),(30.8 3.7),95
(37.7 98.7),(90.3 28.4),88
(37.7 98.7),(42.5 17.0),82
(37.7 98.7),(30.2 44.2),55
(37.7 98.7),(94.8 0.1),114
(37.7 98.7),(15.1 94.0),23
(37.7 98.7),(69.9 64.3),47
(37.7 98.7),(76.0 85.3),41
(37.7 98.7),(29.6 56.6),43
(37.7 98.7),(42.1 85.3),14
(96.8 21.7),(30.8 3.7),68
(96.8 21.7),(90.3 28.4),9
(96.8 21.7),(42.5 17.0),55
(96.8 21.7),(30.2 44.2),70
(96.8 21.7),(94.8 0.1),22
(96.8 21.7),(15.1 94.0),109
(96.8 21.7),(69.9 64.3),50
(96.8 21.7),(76.0 85.3),67
(96.8 21.7),(29.6 56.6),76
(96.8 21.7),(42.1 85.3),84
(30.8 3.7),(90.3 28.4),64
(30.8 3.7),(42.5 17.0),18
(30.8 3.7),(30.2 44.2),41
(30.8 3.7),(94.8 0.1),64
(30.8 3.7),(15.1 94.0),92
(30.8 3.7),(69.9 64.3),72
(30.8 3.7),(76.0 85.3),93
(30.8 3.7),(29.6 56.6),53
(30.8 3.7),(42.1 85.3),82
(90.3 28.4),(42.5 17.0),49
(90.3 28.4),(30.2 44.2),62
(90.3 28.4),(94.8 0.1),29
(90.3 28.4),(15.1 94.0),100
(90.3 28.4),(69.9 64.3),41
(90.3 28.4),(76.0 85.3),59
(90.3 28.4),(29.6 56.6),67
(90.3 28.4),(42.1 85.3),75
(42.5 17.0),(30.2 44.2),30
(42.5 17.0),(94.8 0.1),55
(42.5 17.0),(15.1 94.0),82
(42.5 17.0),(69.9 64.3),55
(42.5 17.0),(76.0 85.3),76
(42.5 17.0),(29.6 56.6),42
(42.5 17.0),(42.1 85.3),68
(30.2 44.2),(94.8 0.1),78
