24
(97.6 13.1)
(36.1 32.2)
(8.8 13.5)
(74.4 89.4)
(71.7 72.9)
(65.8 19.1)
(21.3 99.0)
(51.8 12.9)
(50.6 64.3)
(24.4 32.2)
(38.0 60.2)
(56.3 21.5)
(68.3 16.0)
(8.9 3.7)
(14.8 34.8)
(34.2 90.7)
(65.9 14.3)
(61.8 80.7)
(38.7 99.1)
(15.7 47.3)
(95.5 34.5)
(34.9 72.9)
(92.7 77.1)
(84.7 18.4)
276
(97.6 13.1),(36.1 32.2),64
(97.6 13.1),(8.8 13.5),89
(97.6 13.1),(74.4 89.4),80
(97.6 13.1),(71.7 72.9),65
(97.6 13.1),(65.8 19.1),32
(97.6 13.1),(21.3 99.0),115
(97.6 13.1),(51.8 12.9),46
(97.6 13.1),(50.6 64.3),70
(97.6 13.1),(24.4 32.2),76
(97.6 13.1),(38.0 60.2),76
(97.6 13.1),(56.3 21.5),42
(97.6 13.1),(68.3 16.0),29
(97.6 13.1),(8.9 3.7),89
(97.6 13.1),(14.8 34.8),86
(97.6 13.1),(34.2 90.7),100
(97.6 13.1),(65.9 14.3),32
(97.6 13.1),(61.8 80.7),76
(97.6 13.1),(38.7 99.1),104
(97.6 13.1),(15.7 47.3),89
(97.6 13.1),(95.5 34.5),22
(97.6 13.1),(34.9 72.9),87
(97.6 13.1),(92.7 77.1),64
(97.6 13.1),(84.7 18.4),14
(36.1 32.2),(8.8 13.5),33
(36.1 32.2),(74.4 89.4),69
(36.1 32.2),(71.7 72.9),54
(36.1 32.2),(65.8 19.1),32
(36.1 32.2),(21.3 99.0),68
(36.1 32.2),(51.8 12.9),25
(36.1 32.2),(50.6 64.3),35
(36.1 32.2),(24.4 32.2),12
(36.1 32.2),(38.0 60.2),28
(36.1 32.2),(56.3 21.5),23
(36.1 32.2),(68.3 16.0),36
(36.1 32.2),(8.9 3.7),39
(36.1 32.2),(14.8 34.8),21
(36.1 32.2),(34.2 90.7),59
(36.1 32.2),(65.9 14.3),35
(36.1 32.2),(61.8 80.7),55
(36.1 32.2),(38.7 99.1),67
(36.1 32.2),(15.7 47.3),25
(36.1 32.2),(95.5 34.5),59
(36.1 32.2),(34.9 72.9),41
(36.1 32.2),(92.7 77.1),72
(36.1 32.2),(84.7 18.4),51
(8.8 13.5),(74.4 89.4),100
(8.8 13.5),(71.7 72.9),87
(8.8 13.5),(65.8 19.1),57
(8.8 13.5),(21.3 99.0),86
(8.8 13.5),(51.8 12.9),43
(8.8 13.5),(50.6 64.3),66
(8.8 13.5),(24.4 32.2),24
(8.8 13.5),(38.0 60.2),55
(8.8 13.5),(56.3 21.5),48
(8.8 13.5),(68.3 16.0),60
(8.8 13.5),(8.9 3.7),10
(8.8 13.5),(14.8 34.8),22
(8.8 13.5),(34.2 90.7),81
(8.8 13.5),(65.9 14.3),57
(8.8 13.5),(61.8 80.7),86
(8.8 13.5),(38.7 99.1),91
(8.8 13.5),(15.7 47.3),34
(8.8 13.5),(95.5 34.5),89
(8.8 13.5),(34.9 72.9),65
(8.8 13.5),(92.7 77.1),105
(8.8 13.5),(84.7 18.4),76
(74.4 89.4),(71.7 72.9),17
(74.4 89.4),(65.8 19.1),71
(74.4 89.4),(21.3 99.0),54
(74.4 89.4),(51.8 12.9),80
(74.4 89.4),(50.6 64.3),35
(74.4 89.4),(24.4 32.2),76
(74.4 89.4),(38.0 60.2),47
(74.4 89.4),(56.3 21.5),70
(74.4 89.4),(68.3 16.0),74
(74.4 89.4),(8.9 3.7),108
(74.4 89.4),(14.8 34.8),81
(74.4 89.4),(34.2 90.7),40
(74.4 89.4),(65.9 14.3),76
(74.4 89.4),(61.8 80.7),15
(74.4 89.4),(38.7 99.1),37
(74.4 89.4),(15.7 47.3),72
(74.4 89.4),(95.5 34.5),59
(74.4 89.4),(34.9 72.9),43
(74.4 89.4),(92.7 77.1),22
(74.4 89.4),(84.7 18.4),72
(71.7 72.9),(65.8 19.1),54
(71.7 72.9),(21.3 99.0),57
(71.7 72.9),(51.8 12.9),63
(71.7 72.9),(50.6 64.3),23
(71.7 72.9),(24.4 32.2),62
(71.7 72.9),(38.0 60.2),36
(71.7 72.9),(56.3 21.5),54
(71.7 72.9),(68.3 16.0),57
(71.7 72.9),(8.9 3.7),93
(71.7 72.9),(14.8 34.8),68
(71.7 72.9),(34.2 90.7),42
(71.7 72.9),(65.9 14.3),59
(71.7 72.9),(61.8 80.7),13
(71.7 72.9),(38.7 99.1),42
(71.7 72.9),(15.7 47.3),62
(71.7 72.9),(95.5 34.5),45
(71.7 72.9),(34.9 72.9),37
(71.7 72.9),(92.7 77.1),21
(71.7 72.9),(84.7 18.4),56
(65.8 19.1),(21.3 99.0),91
(65.8 19.1),(51.8 12.9),15
(65.8 19.1),(50.6 64.3),48
(65.8 19.1),(24.4 32.2),43
(65.8 19.1),(38.0 60.2),50
(65.8 19.1),(56.3 21.5),10
(65.8 19.1),(68.3 16.0),4
(65.8 19.1),(8.9 3.7),59
(65.8 19.1),(14.8 34.8),53
(65.8 19.1),(34.2 90.7),78
(65.8 19.1),(65.9 14.3),5
(65.8 19.1),(61.8 80.7),62
(65.8 19.1),(38.7 99.1),84
(65.8 19.1),(15.7 47.3),57
(65.8 19.1),(95.5 34.5),33
(65.8 19.1),(34.9 72.9),62
(65.8 19.1),(92.7 77.1),64
(65.8 19.1),(84.7 18.4),19
(21.3 99.0),(51.8 12.9),91
(21.3 99.0),(50.6 64.3),45
(21.3 99.0),(24.4 32.2),67
(21.3 99.0),(38.0 60.2),42
(21.3 99.0),(56.3 21.5),85
(21.3 99.0),(68.3 16.0),95
(21.3 99.0),(8.9 3.7),96
(21.3 99.0),(14.8 34.8),65
(21.3 99.0),(34.2 90.7),15
(21.3 99.0),(65.9 14.3),96
(21.3 99.0),(61.8 80.7),44
(21.3 99.0),(38.7 99.1),17
(21.3 99.0),(15.7 47.3),52
(21.3 99.0),(95.5 34.5),98
(21.3 99.0),(34.9 72.9),29
(21.3 99.0),(92.7 77.1),75
(21.3 99.0),(84.7 18.4),103
(51.8 12.9),(50.6 64.3),51
(51.8 12.9),(24.4 32.2),34
(51.8 12.9),(38.0 60.2),49
(51.8 12.9),(56.3 21.5),10
(51.8 12.9),(68.3 16.0),17
(51.8 12.9),(8.9 3.7),44
(51.8 12.9),(14.8 34.8),43
(51.8 12.9),(34.2 90.7),80
(51.8 12.9),(65.9 14.3),14
(51.8 12.9),(61.8 80.7),69
(51.8 12.9),(38.7 99.1),87
(51.8 12.9),(15.7 47.3),50
(51.8 12.9),(95.5 34.5),49
(51.8 12.9),(34.9 72.9),62
(51.8 12.9),(92.7 77.1),76
(51.8 12.9),(84.7 18.4),33
(50.6 64.3),(24.4 32.2),41
(50.6 64.3),(38.0 60.2),13
(50.6 64.3),(56.3 21.5),43
(50.6 64.3),(68.3 16.0),51
(50.6 64.3),(8.9 3.7),74
(50.6 64.3),(14.8 34.8),46
(50.6 64.3),(34.2 90.7),31
(50.6 64.3),(65.9 14.3),52
(50.6 64.3),(61.8 80.7),20
(50.6 64.3),(38.7 99.1),37
(50.6 64.3),(15.7 47.3),39
(50.6 64.3),(95.5 34.5),54
(50.6 64.3),(34.9 72.9),18
(50.6 64.3),(92.7 77.1),44
(50.6 64.3),(84.7 18.4),57
(24.4 32.2),(38.0 60.2),31
(24.4 32.2),(56.3 21.5),34
(24.4 32.2),(68.3 16.0),47
(24.4 32.2),(8.9 3.7),32
(24.4 32.2),(14.8 34.8),10
(24.4 32.2),(34.2 90.7),59
(24.4 32.2),(65.9 14.3),45
(24.4 32.2),(61.8 80.7),61
(24.4 32.2),(38.7 99.1),68
(24.4 32.2),(15.7 47.3),17
(24.4 32.2),(95.5 34.5),71
(24.4 32.2),(34.9 72.9),42
(24.4 32.2),(92.7 77.1),82
(24.4 32.2),(84.7 18.4),62
(38.0 60.2),(56.3 21.5),43
(38.0 60.2),(68.3 16.0),54
(38.0 60.2),(8.9 3.7),64
(38.0 60.2),(14.8 34.8),34
(38.0 60.2),(34.2 90.7),31
(38.0 60.2),(65.9 14.3),54
(38.0 60.2),(61.8 80.7),31
(38.0 60.2),(38.7 99.1),39
(38.0 60.2),(15.7 47.3),26
(38.0 60.2),(95.5 34.5),63
(38.0 60.2),(34.9 72.9),13
(38.0 60.2),(92.7 77.1),57
(38.0 60.2),(84.7 18.4),63
(56.3 21.5),(68.3 16.0),13
(56.3 21.5),(8.9 3.7),51
(56.3 21.5),(14.8 34.8),44
(56.3 21.5),(34.2 90.7),73
(56.3 21.5),(65.9 14.3),12
(56.3 21.5),(61.8 80.7),59
(56.3 21.5),(38.7 99.1),80
(56.3 21.5),(15.7 47.3),48
(56.3 21.5),(95.5 34.5),41
(56.3 21.5),(34.9 72.9),56
(56.3 21.5),(92.7 77.1),66
(56.3 21.5),(84.7 18.4),29
(68.3 16.0),(8.9 3.7),61
(68.3 16.0),(14.8 34.8),57
(68.3 16.0),(34.2 90.7),82
(68.3 16.0),(65.9 14.3),3
(68.3 16.0),(61.8 80.7),65
(68.3 16.0),(38.7 99.1),88
(68.3 16.0),(15.7 47.3),61
(68.3 16.0),(95.5 34.5),33
(68.3 16.0),(34.9 72.9),66
(68.3 16.0),(92.7 77.1),66
(68.3 16.0),(84.7 18.4),17
(8.9 3.7),(14.8 34.8),32
(8.9 3.7),(34.2 90.7),91
(8.9 3.7),(65.9 14.3),58
(8.9 3.7),(61.8 80.7),93
(8.9 3.7),(38.7 99.1),100
(8.9 3.7),(15.7 47.3),44
(8.9 3.7),(95.5 34.5),92
(8.9 3.7),(34.9 72.9),74
(8.9 3.7),(92.7 77.1),111
(8.9 3.7),(84.7 18.4),77
(14.8 34.8),(34.2 90.7),59
(14.8 34.8),(65.9 14.3),55
(14.8 34.8),(61.8 80.7),66
(14.8 34.8),(38.7 99.1),69
(14.8 34.8),(15.7 47.3),13
(14.8 34.8),(95.5 34.5),81
(14.8 34.8),(34.9 72.9),43
(14.8 34.8),(92.7 77.1),89
(14.8 34.8),(84.7 18.4),72
(34.2 90.7),(65.9 14.3),83
(34.2 90.7),(61.8 80.7),29
(34.2 90.7),(38.7 99.1),10
(34.2 90.7),(15.7 47.3),47
(34.2 90.7),(95.5 34.5),83
(34.2 90.7),(34.9 72.9),18
(34.2 90.7),(92.7 77.1),60
(34.2 90.7),(84.7 18.4),88
(65.9 14.3),(61.8 80.7),67
(65.9 14.3),(38.7 99.1),89
(65.9 14.3),(15.7 47.3),60
(65.9 14.3),(95.5 34.5),36
(65.9 14.3),(34.9 72.9),66
(65.9 14.3),(92.7 77.1),68
(65.9 14.3),(84.7 18.4),19
(61.8 80.7),(38.7 99.1),30
(61.8 80.7),(15.7 47.3),57
(61.8 80.7),(95.5 34.5),57
(61.8 80.7),(34.9 72.9),28
(61.8 80.7),(92.7 77.1),31
(61.8 80.7),(84.7 18.4),66
(38.7 99.1),(15.7 47.3),57
(38.7 99.1),(95.5 34.5),86
(38.7 99.1),(34.9 72.9),26
(38.7 99.1),(92.7 77.1),58
(38.7 99.1),(84.7 18.4),93
(15.7 47.3),(95.5 34.5),81
(15.7 47.3),(34.9 72.9),32
(15.7 47.3),(92.7 77.1),83
(15.7 47.3),(84.7 18.4),75
(95.5 34.5),(34.9 72.9),72
(95.5 34.5),(92.7 77.1),43
(95.5 34.5),(84.7 18.4),19
